Itmcd,district,rate
B0-001,AMPARA DISTRICT,2900
B0-002,AMPARA DISTRICT,2600
B0-003,AMPARA DISTRICT,2500
B0-004,AMPARA DISTRICT,2300
B0-101,AMPARA DISTRICT,100
B0-102,AMPARA DISTRICT,9409.73
B0-103,AMPARA DISTRICT,110
B0-104,AMPARA DISTRICT,4691.16
B0-105,AMPARA DISTRICT,17209.7
B0-106,AMPARA DISTRICT,2420.66
B0-107,AMPARA DISTRICT,4636.65
B0-108,AMPARA DISTRICT,4039.47
B0-109,AMPARA DISTRICT,9743.06
B0-110,AMPARA DISTRICT,39239.18
B0-111,AMPARA DISTRICT,21722.64
B0-112,AMPARA DISTRICT,7937.39
B0-113,AMPARA DISTRICT,32430.47
B0-114,AMPARA DISTRICT,49632.69
B0-115,AMPARA DISTRICT,37514.63
B0-116,AMPARA DISTRICT,39159.97
B0-116A,AMPARA DISTRICT,40370
B0-117,AMPARA DISTRICT,11507.41
B0-118,AMPARA DISTRICT,54.43
B0-118A,AMPARA DISTRICT,49.25
B0-119,AMPARA DISTRICT,55.63
B0-119A,AMPARA DISTRICT,55.96
B0-120,AMPARA DISTRICT,37.18
B0-120A,AMPARA DISTRICT,3.79
B0-120B,AMPARA DISTRICT,35.54
B0-121,AMPARA DISTRICT,49032.66
B0-121A,AMPARA DISTRICT,2908.02
B0-122,AMPARA DISTRICT,13318.68
B0-123,AMPARA DISTRICT,31657.17
B0-124,AMPARA DISTRICT,54550.93
B0-124A,AMPARA DISTRICT,44000.08
B0-125,AMPARA DISTRICT,137.11
B0-126,AMPARA DISTRICT,167.48
B0-127,AMPARA DISTRICT,198.34
B0-128,AMPARA DISTRICT,26315.21
B0-129,AMPARA DISTRICT,11994.63
B0-129A,AMPARA DISTRICT,11950.83
B0-130,AMPARA DISTRICT,240.84
B0-130A,AMPARA DISTRICT,82.05
B0-131,AMPARA DISTRICT,10823.72
B0-131A,AMPARA DISTRICT,10823.72
B0-131B,AMPARA DISTRICT,491.99
B0-132,AMPARA DISTRICT,2173.81
B0-133,AMPARA DISTRICT,2086.1
B0-133A,AMPARA DISTRICT,1128.79
B0-134,AMPARA DISTRICT,2788.62
B0-135,AMPARA DISTRICT,4127.71
B0-136,AMPARA DISTRICT,14165.02
B0-137,AMPARA DISTRICT,104.48
B0-138,AMPARA DISTRICT,1389.02
B0-139,AMPARA DISTRICT,1628.46
B0-140,AMPARA DISTRICT,2628.89
